"code_commune_insee","nom_de_la_commune","code_postal","latitude","longitude"
"26157","LA LAUPIE","26740","44.6160557103657","4.84935786642756"
"26159","LAVAL D AIX","26150","44.74402396593482","5.450519535118603"
"26160","LAVEYRON","26240","45.19976960013747","4.822885747786499"
"26161","LEMPS","26510","44.34885000399599","5.408267185693772"
"26162","LENS LESTANG","26210","45.29601871885009","5.041370540339941"
"26163","LEONCEL","26190","44.93230450721196","5.191208293848561"
"26164","LESCHES EN DIOIS","26310","44.59237370024707","5.51783079047336"
"26165","LIVRON SUR DROME","26250","44.79120782786443","4.825712491807664"
"26166","LORIOL SUR DROME","26270","44.749474108125675","4.814083053398772"
"26167","LUC EN DIOIS","26310","44.613192387935584","5.456177178588442"
"26168","LUS LA CROIX HAUTE","26620","44.68429560415518","5.735449563290566"
"26169","MALATAVERNE","26780","44.47442478266905","4.745197363365548"
"26170","MALISSARD","26120","44.90013870232269","4.95836866349667"
"26171","MANAS","26160","44.601847489954565","4.980199787584526"
"26172","MANTHES","26210","45.30116722649797","5.002361866753841"
"26173","MARCHES","26300","44.980978607634256","5.112878044427763"
"26174","MARGES","26260","45.135074517926256","5.0272625662194965"
"26175","MARIGNAC EN DIOIS","26150","44.80872628705523","5.329296825040694"
"26176","MARSANNE","26740","44.64368439008123","4.883129533186894"
"26177","MARSAZ","26260","45.12029290999434","4.930988369888627"
"26178","MENGLON","26410","44.65654768374843","5.470086797269056"
"26179","MERCUROL VEAUNES","26600","45.07384657870236","4.895790094354279"
"26180","MERINDOL LES OLIVIERS","26170","44.27234863106192","5.166035654529116"
"26181","MEVOUILLON","26560","44.2334102226431","5.484006005927068"
"26182","MIRABEL AUX BARONNIES","26110","44.31336912830258","5.109605415974054"
"26183","MIRABEL ET BLACONS","26400","44.7154113070181","5.124892423650913"
"26185","MIRMANDE","26270","44.68782984583753","4.842853987046576"
"26186","MISCON","26310","44.62564324231788","5.514272271095287"
"26188","MOLLANS SUR OUVEZE","26170","44.23710765224024","5.194935844438308"
"26189","MONTAUBAN SUR L OUVEZE","26170","44.28268948596583","5.520412952317537"
"26190","MONTAULIEU","26110","44.357938102368664","5.2207614045750335"
"26191","MONTBOUCHER SUR JABRON","26740","44.553490144360765","4.815951326164796"
"26192","MONTBRISON SUR LEZ","26770","44.432795739434994","5.021950581267223"
"26193","MONTBRUN LES BAINS","26570","44.182316380204114","5.431273318259501"
"26194","MONTCHENU","26350","45.190826990283284","5.041880901517758"
"26195","MONTCLAR SUR GERVANNE","26400","44.75044698423283","5.157109895135817"
"26196","MONTELEGER","26760","44.86047713519413","4.931699634073973"
"26197","MONTELIER","26120","44.9418300573094","5.0201210469431805"
"26198","MONTELIMAR","26200","44.5545237557393","4.7454114836078585"
"26199","MONTFERRAND LA FARE","26510","44.343342281467685","5.448193367535948"
"26200","MONTFROC","26560","44.17217000611903","5.64400451866018"
"26201","MONTGUERS","26170","44.299786887576445","5.4763073780252824"
"26202","MONTJOUX","26220","44.48787134310164","5.104224595300777"
"26203","MONTJOYER","26230","44.48254324799047","4.881581372205588"
"26204","MONTLAUR EN DIOIS","26310","44.628367874990246","5.416553153111846"
"26205","MONTMAUR EN DIOIS","26150","44.67996547612519","5.364627733135622"
"26206","MONTMEYRAN","26120","44.836171496618135","4.982068329124209"
"26207","MONTMIRAL","26750","45.15702278185","5.16040724671163"
"26208","MONTOISON","26800","44.797270939538436","4.925716928073337"
"26209","MONTREAL LES SOURCES","26510","44.4011808815913","5.304973282992053"
"26210","VALHERBASSE","26350","45.21756563975052","5.142333207344412"
"26211","MONTSEGUR SUR LAUZON","26130","44.3682478856219","4.85995685578391"
"26212","MONTVENDRE","26120","44.86389199398292","5.019372626449658"
"26213","MORAS EN VALLOIRE","26210","45.28512419750859","5.001444189284415"
"26214","MORNANS","26460","44.620934332353194","5.1329975835323065"
"26215","LA MOTTE CHALANCON","26470","44.498967321517256","5.384754371688907"
"26216","ST JEAN DE GALAURE","26240","45.210697500997085","4.913635856575692"
"26217","LA MOTTE FANJAS","26190","45.04495166998291","5.270710930324109"
"26218","MOURS ST EUSEBE","26540","45.07194517178863","5.0580160129060285"
"26220","NYONS","26110","44.358501531629926","5.12430634597489"
"26221","OMBLEZE","26400","44.85374622487731","5.233325090401974"
"26222","ORCINAS","26220","44.55088338710836","5.139644190327417"
"26223","ORIOL EN ROYANS","26190","44.989051782131824","5.25140910559606"
"26224","OURCHES","26120","44.80654332945908","5.043782785828048"
"26225","PARNANS","26750","45.11254514975896","5.160345969284666"
"26226","LE PEGUE","26770","44.44442649279854","5.0680329768381505"
"26227","PELONNE","26510","44.38146615922065","5.382452152668607"
"26228","PENNES LE SEC","26340","44.63794512020418","5.317664482379549"
"26229","LA PENNE SUR L OUVEZE","26170","44.25287951645225","5.23336309391167"
"26231","PEYRINS","26380","45.099426126745584","5.044097695162291"
"26232","PEYRUS","26120","44.90672220393619","5.119661191147091"
"26233","PIEGON","26110","44.29781476976906","5.12644752606402"
"26234","PIEGROS LA CLASTRE","26400","44.68785805307226","5.094386547334156"
"26235","PIERRELATTE","26700","44.363396241785196","4.688685316986977"
"26236","PIERRELONGUE","26170","44.2493064074466","5.214469729157875"
"26238","LES PILLES","26110","44.378582586482935","5.199173503044735"
"26239","PLAISIANS","26170","44.228778674263516","5.339775514983236"
"26240","PLAN DE BAIX","26400","44.82666892097692","5.1649286285612845"
"26241","LE POET CELARD","26460","44.59909915377294","5.098198207288066"
"26242","LE POET EN PERCIP","26170","44.249835498024176","5.396075616788984"
"26243","LE POET LAVAL","26160","44.52714329324094","4.99781877797944"
"26244","LE POET SIGILLAT","26110","44.36623894237351","5.320363057237616"
"26245","POMMEROL","26470","44.43691571038313","5.4680292479397625"
"26246","PONET ET ST AUBAN","26150","44.775989718579694","5.312657252481833"
"26247","PONSAS","26240","45.154579838143015","4.842296172202246"
"26248","PONTAIX","26150","44.75408061582987","5.26042065783202"
"26249","PONT DE BARRET","26160","44.59276889574761","5.003704046747606"
"26250","PONT DE L ISERE","26600","45.01708372305614","4.881497851012524"
"26251","PORTES EN VALDAINE","26160","44.52077582935176","4.912425752727247"
"26252","PORTES LES VALENCE","26800","44.87487956223091","4.88434073713819"
"26253","POYOLS","26310","44.59704254397811","5.415061194225171"
